TxHashId,Fee
346f0daf0aa84047b0a349d4930d25f57c778817c2613e970ce241f8f5b9c8d0,0.0009454 BTC
001cd2a89a73d64394d7e7b4631d764d506d8631dffe8edabb526694062c5756,0.0011954 BTC
507794b761a6ac8152600493d42d1bcfb5d4cf4fa481e19f38635da2f4fb0153,0.0006954 BTC
fb804095143d54d9c08421c099c7c8f27a6517c87e8b5d5c4da9576f240b4228,0.0011954 BTC
beb5c9a7768d2ccbbf22102654836909d470654c43bef6c03e5af4c739c55773,0.0008908 BTC
a000417f714a9dd997336228dff16f61030cf7dbca9d1af5e7211a17b242252c,0.0011408 BTC
28e954342d3d3baa234f43a889d1c2d67d45a03b8e9be0a3a1a2deeb23bb5212,0.0008908 BTC
617f68b32865e7f1c9ba2597d3ae5abd53a77723771a24c55f48e7e879622859,0.0009454 BTC
69f49cbcc9ddb70a27abc5974bf5278f5c0a5e65d228e51676911fea54d3fc65,0.0011954 BTC
0f40f1969d2269944e25b61c338ae0fde40e8c0857a254080f52cba6e67993bf,0.0009454 BTC
b6d1e5742e0b3d59cd7e8adb28d960c75ff5e36edbb424962326e3e79f2c85a7,0.0011954 BTC
6df5f87dd65471a2e957d7d429e254608cc3b2d5d8b16b544a69ea8a3b857fbb,0.0011954 BTC
405c36bdae6ac7f95dcbafcc8ba060f7316289090a768343aaf296bf199e1edd,0.0014454 BTC
b5a63979382dd95cc217cd49dcd7cddc7068a6445dd15879c9cc613476894059,0.0006954 BTC
fa2fcc373315b2a1201b0d840a98f5de1cf7f69026209705a0c46846e10d967e,0.0006954 BTC
f471813f9bc54557cdc7f1bf95e2bbbbecdc5d1e686131893292373da4202aaa,0.0008908 BTC
39a42d8fb3bd1ca138931816c17b7b700968aa17d0104a6cb62ff3399fcd50a1,0.00094996 BTC
dd9e7c88ea26b30fbf49cd87610c6824c625e93a67b6c22f1f1079543e93071c,0.0009454 BTC
0808ced04a9c9f9356d59f1cc3b606e385f1811240badb9b3b1fe1bc426a5bd2,0.0009454 BTC
39e9085c2839b4acb54a8ab048d5598641a71800865eeccfec775ef503715e63,0.0009454 BTC
78022e2a5701a53e053725df63a6cb5ca780c722f415586bc96afc47ae66329a,0.0009454 BTC
ea9d5a6cb03e45c466879c70b2dea223f038477fcbbd6aaf3bf91bffdf300e74,0.0014454 BTC
